Stadium;Date;Event;Race;Distance;Rank;Nr;Name;Country;Pair;Lane;Time;Behind;Gender;SeasonalBest;EstimatedTFM;EstimatedTFMBuffer
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;3000m_Women;3000;6.0;212;Valerie_Maltais;CAN;4;O;3:59.745;5.009;Women;;990;1050
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;3000m_Women;3000;7.0;253;Momoka_Horikawa;JPN;3;I;4:00.587;5.851;Women;;660;720
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;3000m_Women;3000;8.0;263;Merel_Conijn;NED;6;O;4:00.768;6.032;Women;;1650;1710
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;3000m_Women;3000;9.0;217;Isabelle_Weidemann;CAN;8;O;4:01.071;6.335;Women;;2310;2370
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;3000m_Women;3000;10.0;239;Josie_Hofmann;GER;1;I;4:01.225;6.489;Women;;0;60
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;3000m_Women;3000;11.0;225;Binyu_Yang;CHN;3;O;4:01.636;6.900;Women;;660;720
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;3000m_Women;3000;12.0;268;Sanne_In_'t_Hof;NED;4;I;4:01.864;7.128;Women;;990;1050
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;3000m_Women;3000;13.0;207;Ivanie_Blondin;CAN;8;I;4:03.895;9.159;Women;;2310;2370
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;3000m_Women;3000;14.0;208;Laura_Hall;CAN;2;O;4:04.316;9.580;Women;;330;390
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;3000m_Women;3000;15.0;204;Sandrine_Tas;BEL;2;I;4:05.572;10.836;Women;;330;390
Pettit_National_Ice_Center;2025-01-31;ISU_World_Cup_Speed_Skating_#4;3000m_Women;3000;16.0;240;Maira_Jasch;GER;1;O;4:06.207;11.471;Women;;0;60
Pettit_National_Ice_Center;2025-02-01;ISU_World_Cup_Speed_Skating_#4;5000m_Men;5000;1.0;94;Sander_Eitrem;NOR;7;O;6:04.742;0.000;Men;;2880;2940
Pettit_National_Ice_Center;2025-02-01;ISU_World_Cup_Speed_Skating_#4;5000m_Men;5000;2.0;58;Davide_Ghiotto;ITA;8;I;6:06.837;2.095;Men;;3360;3420
Pettit_National_Ice_Center;2025-02-01;ISU_World_Cup_Speed_Skating_#4;5000m_Men;5000;3.0;87;Beau_Snellink;NED;8;O;6:07.661;2.919;Men;;3360;3420
Pettit_National_Ice_Center;2025-02-01;ISU_World_Cup_Speed_Skating_#4;5000m_Men;5000;4.0;122;Casey_Dawson;USA;5;I;6:07.935;3.193;Men;;1920;1980
Pettit_National_Ice_Center;2025-02-01;ISU_World_Cup_Speed_Skating_#4;5000m_Men;5000;5.0;8;Ted-Jan_Bloemen;CAN;5;O;6:08.653;3.911;Men;;1920;1980
Pettit_National_Ice_Center;2025-02-01;ISU_World_Cup_Speed_Skating_#4;5000m_Men;5000;6.0;77;Marcel_Bosker;NED;4;O;6:08.985;4.243;Men;;1440;1500
Pettit_National_Ice_Center;2025-02-01;ISU_World_Cup_Speed_Skating_#4;5000m_Men;5000;7.0;45;Timothy_Loubineaud;FRA;3;I;6:09.615;4.873;Men;;960;1020
Pettit_National_Ice_Center;2025-02-01;ISU_World_Cup_Speed_Skating_#4;5000m_Men;5000;8.0;62;Michele_Malfatti;ITA;4;I;6:11.606;6.864;Men;;1440;1500
Pettit_National_Ice_Center;2025-02-01;ISU_World_Cup_Speed_Skating_#4;5000m_Men;5000;9.0;5;Bart_Swings;BEL;6;I;6:12.348;7.606;Men;;2400;2460
Pettit_National_Ice_Center;2025-02-01;ISU_World_Cup_Speed_Skating_#4;5000m_Men;5000;10.0;52;Felix_Maly;GER;3;O;6:12.977;8.235;Men;;960;1020
Pettit_National_Ice_Center;2025-02-01;ISU_World_Cup_Speed_Skating_#4;5000m_Men;5000;11.0;82;Chris_Huizinga;NED;6;O;6:12.989;8.247;Men;;2400;2460
Pettit_National_Ice_Center;2025-02-01;ISU_World_Cup_Speed_Skating_#4;5000m_Men;5000;12.0;76;Jorrit_Bergsma;NED;1;O;6:14.288;9.546;Men;;0;60
Pettit_National_Ice_Center;2025-02-01;ISU_World_Cup_Speed_Skating_#4;5000m_Men;5000;13.0;12;Graeme_Fish;CAN;7;I;6:15.519;10.777;Men;;2880;2940
